start_latitude,start_longitude,end_latitude,end_longitude
40.71910537,-73.99973337,40.69236178,-73.98631746
40.72456089,-73.99565293,40.7568001,-73.98291153
40.75038009,-73.98338988,40.751396,-74.005226
40.76340613,-73.97722479,40.76340613,-73.97722479
40.69236178,-73.98631746,40.69308257,-73.97178913
40.74394314,-73.97966069,40.73781509,-73.99994661
40.75323098,-73.97032517,40.71622644,-73.98261206
40.73401143,-74.00293877,40.73291553,-74.00711384
40.76228826,-73.98336183,40.76269882,-73.99301222
40.72953837,-73.98426726,40.7284186,-73.98713956
40.7462009,-73.98855723,40.751396,-74.005226
40.716633,-73.981933,40.75992262,-73.97648516
40.74025878,-73.98409214,40.756014,-73.967416
40.75097711,-73.98765428,40.74487634,-73.99529885
40.7457121,-73.98194829,40.7403432,-73.98955109
40.7606832709659,-73.9845272898674,40.7284186,-73.98713956
40.75714758,-73.97207836,40.74096374,-73.98602213
40.711066,-74.009447,40.70834698,-74.01713445
40.73587678,-73.98205027,40.7454973,-74.00197139
40.744219,-73.97121214,40.75934501,-73.96759673
40.76344058,-73.98268129,40.7457121,-73.98194829
40.70463334,-74.01361706,40.70463334,-74.01361706
40.73261787,-73.99158043,40.7462009,-73.98855723
40.74901271,-73.98848395,40.734232,-73.986923
40.76009437,-73.99461843,40.7568001,-73.98291153
40.74173969,-73.99415556,40.7381765,-73.97738662
40.71870987,-74.0090009,40.739323,-74.008119
40.76009437,-73.99461843,40.73535398,-74.00483091
40.74691959,-74.00451887,40.71911552,-74.00666661
40.7597108,-73.97402311,40.75666,-73.976684
40.751551,-73.993934,40.7423543,-73.98915076
40.74487634,-73.99529885,40.74173969,-73.99415556
40.70823502,-74.00530063,40.750967348716,-73.994442075491
40.724399,-74.004704,40.73261787,-73.99158043
40.74144387,-73.97536082,40.744219,-73.97121214
40.728145,-73.990214,40.68691865,-73.976682
40.76584941,-73.98690506,40.74317449,-74.00366443
40.73172428,-74.00674436,40.72405549,-74.00965965
40.74487634,-73.99529885,40.724399,-74.004704
40.71754834,-74.01322069,40.72243797,-74.00566443
40.73401143,-74.00293877,40.74096374,-73.98602213
40.750967348716,-73.994442075491,40.739445,-73.976806
40.7500727,-73.99839279,40.70706456,-74.00731853
